name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
The Punisher - Part 2,Reserve,Prapor,,Must be level 18 to start this quest.,Eliminate 12 Scavs while using a suppressed weapon  on Reserve | Find 7 Lower half-masks in raid | Hand over the 7 half-masks,"+13,100 EXP | Prapor Rep +0.03 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AK-104 7.62x39 assault rifle | 2× Military cable",The Punisher - Part 1,The Punisher - Part 3 | Easy Job - Part 1
The Punisher - Part 3,Customs,Prapor,,Must be level 19 to start this quest.,Eliminate 25 Scavs while using an AKS-74U series assault rifle on Customs,"+11,700 EXP | Prapor Rep +0.04 | Skier Rep +0.02 | 2,500 Dollars 2,625 Dollars with Intelligence Center Level 1 2,875 Dollars with Intelligence Center Level 2 | 1× Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Urbana) | Unlocks craft for 5.45x39mm PP gs at Workbench level 2",The Punisher - Part 2,The Punisher - Part 4
The Punisher - Part 4,Lighthouse,Prapor,,Must be level 20 to start this quest.,Eliminate 10 Scavs while using a 12ga shotgun on Lighthouse | Eliminate 10 PMC operatives while wearing a balaclava (any type) and Scav Vest on Lighthouse | Find 5 Bars A-2607 95Kh18 knives in raid | Hand over the 5 Bars A-2607 95Kh18 knives,"+18,000 EXP | Prapor Rep +0.03 | 100,000 Roubles 105,000 Roubles with Intelligence Center Level 1 115,000 Roubles with Intelligence Center Level 2 | 1× Colt M4A1 5.56x45 assault rifle (variant SOPMOD II)",The Punisher - Part 3,The Punisher - Part 5 | Kings of the Rooftops
The Punisher - Part 5,,Prapor,,Must be level 20 to start this quest.,Find any Kalashnikov AK-74 assault rifle in raid | Hand over the AK-74 | Find a Colt M4A1 assault rifle in raid | Hand over the M4A1 | Find any 2 Makarov PM pistols in raid | Hand over the pistols | Eliminate 10 PMC operatives while wearing a PACA body armor and 6B47 helmet,"+18,200 EXP | Prapor Rep +0.03 | 5,000 Dollars 5,250 Dollars with Intelligence Center Level 1 5,750 Dollars with Intelligence Center Level 2 | 1× Pistol case | 1× Documents case | 6× 7.62x39mm BP gzh ammo pack (20 pcs)",The Punisher - Part 4,The Punisher - Part 6 | Our Own Land
The Punisher - Part 6,,Prapor,,Must be level 21 to start this quest.,Eliminate 15 PMC operatives while using an SVD rifle (excluding Factory ) | Hand over any 7 BEAR dogtags | Hand over any 7 USEC dogtags,"+19,400 EXP | Prapor Rep +0.04 | Therapist Rep +0.05 | Skier Rep +0.01 | 250,000 Roubles 262,500 Roubles with Intelligence Center Level 1 287,500 Roubles with Intelligence Center Level 2 | 1× Secure container Epsilon | Unlocks purchase of 7.62x54mm R PS gzh at Prapor LL4",The Punisher - Part 5,Capturing Outposts | Intimidator | Escort | The Choice | Gendarmerie - Mall Cop | Best Job in the World | No Questions Asked
Polikhim Hobo,Customs,Prapor,,,Eliminate 25 Scavs on Customs,"+5,900 EXP | Prapor Rep +0.02 | Jaeger Rep +0.01 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 3× F-1 hand grenade | 3× RGD-5 hand grenade | 1× Zarya stun grenade",Chemical - Part 1,Regulated Materials
Big Customer,Customs,Prapor,,Must accept Skier 's quest Chemical - Part 4 to obtain this quest.,Locate the transport with the chemicals on Customs | Mark the vehicle with an MS2000 Marker,"+8,100 EXP | Prapor Rep +0.03 | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2 | 1× 6B2 body armor (Flora) | 2× Ammunition case",Chemical - Part 3,Trust Regain | Loyalty Buyout | Safe Corridor
No Offence,,Prapor,,,Obtain 10 M67 grenades | Hand over 10 grenades to Prapor,Prapor Rep +0.25,Chemical - Part 4 | Out of Curiosity,
Grenadier,,Prapor,,Must be level 10 to start this quest.,Eliminate 5 PMC operatives with grenades,"+12,500 EXP | Prapor Rep +0.02 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 10× 12.7x55mm PS12B (10 pcs) | 5× F-1 hand grenade | 5× VOG-17 Khattabka improvised hand grenade | 5× VOG-25 Khattabka improvised hand grenade | 2× RGN hand grenade | Unlocks craft for VOG-25 Khattabka improvised hand grenade at Workbench level 2",Shooting Cans,The Art of Explosion
The Art of Explosion,,Prapor,,Must be level 33 to start this quest.,Eliminate any 35 targets while using grenades or grenade launchers,"+19,200 EXP | 92,000 Roubles 96,600 Roubles with Intelligence Center Level 1 105,800 Roubles with Intelligence Center Level 2 | 1× RShG-2 72.5mm rocket launcher | Unlocks purchase of RShG-2 72.5mm rocket launcher at Prapor LL4",Grenadier,
Perfect Mediator,,Prapor,,Must be level 35 to start this quest.,Reach level 4 loyalty with Ragman | Reach level 4 loyalty with Skier | Reach level 4 loyalty with Mechanic | Reach level 4 loyalty with Peacekeeper | Reach level 4 loyalty with Prapor | Reach level 4 loyalty with Therapist | Reach level 4 loyalty with Jaeger,"+20,900 EXP | Prapor Rep +0.02 | 55,000 Roubles 57,750 Roubles with Intelligence Center Level 1 63,250 Roubles with Intelligence Center Level 2 | 1× T H I C C Weapon case | Unlocks purchase of SR-3M 9x39 compact assault rifle at Prapor LL4",Shaking Up the Teller,
Test Drive - Part 1,,Prapor,,Must be level 18 to start this quest.,Eliminate 10 PMC operatives using an SR-25 rifle with Hybrid 46 suppressor and Schmidt & Bender PM II 1-8x24 scope,"+9,100 EXP | Prapor Rep +0.02 | 1× VSS Vintorez 9x39 special sniper rifle | 6× 9x39mm PAB-9 gs ammo pack (20 pcs) | 2× VSS/VAL 9x39 30-round magazine | Unlocks craft for 9x39mm PAB-9 gs at Workbench level 2",Shooting Cans,Test Drive - Part 2
Test Drive - Part 2,"Streets of Tarkov , Ground Zero , Interchange",Prapor,,Must be level 22 to start this quest. | Unlocks 12 hours after completion of Test Drive - Part 1,"Eliminate 20 PMC operatives while using MP5SD with PRO sight on Streets of Tarkov , Ground Zero or Interchange","+12,000 EXP | Prapor Rep +0.02 | 300,000 Roubles 315,000 Roubles with Intelligence Center Level 1 345,000 Roubles with Intelligence Center Level 2 | 1× ASh-12 12.7x55 assault rifle | 3× ASh-12 12.7x55 20-round magazine | 6× 12.7x55mm PS12B (10 pcs) | 3× Golden neck chain | Unlocks purchase of 9x21mm BT gzh at Prapor LL3",Test Drive - Part 1,Test Drive - Part 3
Test Drive - Part 3,"Lighthouse , Customs , Reserve",Prapor,,Must be level 25 to start this quest.,"Eliminate 20 PMCs with AK-12 with the proprietary suppressor and PS-320 scope on Lighthouse , Customs , or Reserve","+18,000 EXP | Prapor Rep +0.02 | 400,000 Roubles 420,000 Roubles with Intelligence Center Level 1 460,000 Roubles with Intelligence Center Level 2 | 1× RPK-16 5.45x39 light machine gun | 4× AK-74 5.45x39 6L31 60-round magazine | 8× 5.45x39mm 7N40 ammo pack (30 pcs) | Unlocks purchase of Kalashnikov AK-308 7.62x51 assault rifle at Prapor LL4",Test Drive - Part 2,Test Drive - Part 4
Test Drive - Part 4,"Shoreline , Interchange , Woods",Prapor,,Must be level 28 to start this quest.,"Eliminate any 30 targets while using an RPDN with EKP-1S-03 sight on Shoreline , Interchange or Woods","+20,000 EXP | Prapor Rep +0.02 | 460,000 Roubles 483,000 Roubles with Intelligence Center Level 1 529,000 Roubles with Intelligence Center Level 2 | 1× Tokarev AVT-40 7.62x54R automatic rifle | 3× 7.62x54mm R SNB gzh ammo pack (20 pcs) | 2× AVT-40 7.62x54R 15-round magazine",Test Drive - Part 3,Test Drive - Part 5
Test Drive - Part 5,Factory,Prapor,,Must be level 32 to start this quest.,Eliminate any 50 targets while using an SR-2M with suppressor and KP-SR2 sight on Factory,"+23,000 EXP | Prapor Rep +0.02 | 500,000 Roubles 525,000 Roubles with Intelligence Center Level 1 575,000 Roubles with Intelligence Center Level 2 | 1× AS VAL 9x39 special assault rifle | 3× VSS/VAL 9x39 30-round magazine | 6× 9x39mm BP ammo pack (20 pcs)",Test Drive - Part 4,Test Drive - Part 6
Test Drive - Part 6,Customs,Prapor,,Must be level 35 to start this quest.,Eliminate any 50 targets while using an Aklys Defense Velociraptor on Customs,"+32,000 EXP | Prapor Rep +0.02 | 65,000 Roubles 68,250 Roubles with Intelligence Center Level 1 74,750 Roubles with Intelligence Center Level 2 | 2× BNTI Zhuk body armor (EMR)",Test Drive - Part 5,
Regulated Materials,Reserve,Prapor,,Must be level 25 to start this quest.,Find 1 6-STEN-140-M military battery in raid | Hand over 1 military battery to Prapor | Find 5 OFZ 30x165mm shells in raid | Hand over the 5 OFZ shells to Prapor,"+14,800 EXP | Prapor Rep +0.02 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 10× 12.7x55mm PS12B (10 pcs) | Unlocks barter for ASh-12 12.7x55 assault rifle at Prapor LL4",Polikhim Hobo,
The Bunker - Part 1,Reserve,Prapor,,Must be level 10 to start this quest,Locate the underground bunker on Reserve | Locate the control room in the underground bunker on Reserve | Survive and extract from the location,"+5,700 EXP | Prapor Rep +0.03 | 20,000 Roubles 21,000 Roubles with Intelligence Center Level 1 23,000 Roubles with Intelligence Center Level 2 | 1× SR-2M Veresk 9x21 submachine gun | 3× 9x21mm BT ammo pack (30 pcs) | 3× SR-2M 9x21 20-round magazine | Unlocks purchase of 9x21mm PS gzh at Prapor LL2",BP Depot,The Bunker - Part 2
The Bunker - Part 2,Reserve,Prapor,,Must be level 15 to start this quest.,Locate the hermetic door leading to the hospital (White Bishop) on Reserve | Locate one of two hermetic doors leading to the academy building (Black Bishop) on Reserve | Locate one of two hermetic doors leading to barracks #1 (Black Pawn) on Reserve | Locate one of two hermetic doors leading to barracks #2 (White Pawn) on Reserve | Locate the hermetic door leading to the building of the air control center (King) on Reserve | Survive and extract from the location,"+9,200 EXP | Prapor Rep +0.03 | 25,000 Roubles 26,250 Roubles with Intelligence Center Level 1 28,750 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AKS-74UB 5.45x39 assault rifle | 1× 5.45x39mm BS gs ammo pack (120 pcs) | 1× AK CAA RS47 handguard | 1× AK-74M CAA AKTS AK74 buffer tube",The Bunker - Part 1,No Place for Renegades
Anesthesia,Shoreline,Prapor,,Must be level 21 to start this quest.,Mark the first trading post with an MS2000 Marker on Shoreline | Mark the second trading post with an MS2000 Marker on Shoreline | Mark the third trading post with an MS2000 Marker on Shoreline | Survive and extract from the location,"+18,100 EXP | Prapor Rep +0.04 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× AS VAL 9x39 special assault rifle | 5× 9x39mm SPP gs ammo pack (20 pcs) | 5× 9x39mm SP-6 gs ammo pack (20 pcs)",Shaking Up the Teller,Rigged Game | Samples | Chemistry Closet
Search Mission,Woods,Prapor,,Must be level 5 to start this quest.,Locate Prapor's missing convoy on Woods | Locate the temporary USEC camp on Woods | Survive and extract from the location,"+2,800 EXP | Prapor Rep +0.02 | 22,000 Roubles 23,100 Roubles with Intelligence Center Level 1 25,300 Roubles with Intelligence Center Level 2 | 1× EYE MK.2 professional hand-held compass | 1× Woods plan map | Unlocks purchase of NPP KlASS Kora-Kulon body armor (EMR) at Prapor LL1",Debut,
Documents,Reserve,Prapor,,Must be level 19 to start this quest.,Obtain the first folder with military on Reserve | Obtain the second folder with military on Reserve | Obtain the third folder with military on Reserve | Hand over the first documents to Prapor | Hand over the second documents to Prapor | Hand over the third documents to Prapor,"+7,800 EXP | Prapor Rep +0.04 | 45,000 Roubles 47,250 Roubles with Intelligence Center Level 1 51,750 Roubles with Intelligence Center Level 2 | 1× NSPU-M 3.5x dovetail night vision scope | 1× Zenit Klesch-2P flashlight with laser | 1× AKM PBS-1 7.62x39 sound suppressor | Unlocks English herringbone Hideout floor style",No Place for Renegades,Special Comms
No Place for Renegades,Reserve,Prapor,,Must be level 17 to start this quest.,Eliminate 5 Raiders in the command bunker on Reserve,"+15,300 EXP | Prapor Rep +0.03 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AK-103 7.62x39 assault rifle | 3× AK-103 7.62x39 30-round magazine | 7× 7.62x39mm PP gzh ammo pack (20 pcs)",The Bunker - Part 2,Documents
Capturing Outposts,"Customs , Woods , Shoreline",Prapor,,Must be level 42 to start this quest.,Eliminate 8 PMC operatives at the Scav base on Customs | Eliminate 8 PMC operatives at the Scav base on Woods | Eliminate 8 PMC operatives at the Health Resort on Shoreline,"+69,999 EXP | 1× Armband (RFARMY) | 1× Armband (USEC) | 1× Rys-T bulletproof helmet (Black) | 2× Rys-T face shield | 1× 6B43 Zabralo-Sh body armor (EMR) | Unlocks purchase of 9x39mm SP-6 gs at Prapor LL4",The Punisher - Part 6,
Intimidator,,Prapor,,Must be level 45 to start this quest.,Eliminate 40 Scavs with headshots,"+84,000 EXP | +3 Aim Drills skill level | +3 Assault Rifles skill level | Unlocks craft for 7.62x39mm BP gzh at Workbench level 3",The Punisher - Part 6,
Escort,"Daytime Factory , Customs , Shoreline , Reserve , Woods , Interchange , The Lab , Ground Zero",Prapor,,Must be level 46 to start this quest.,Eliminate 4 PMC operatives on daytime Factory | Eliminate 4 PMC operatives on Customs | Eliminate 4 PMC operatives on Shoreline | Eliminate 4 PMC operatives on Reserve | Eliminate 4 PMC operatives on Woods | Eliminate 4 PMC operatives on Interchange | Eliminate 4 PMC operatives in The Lab | Eliminate 4 PMC operatives on Ground Zero,"+177,000 EXP | +5 Melee skill levels | +5 Pistols skill level | +5 Strength skill level | 1× 6B43 Zabralo-Sh body armor (EMR) | 1× Rys-T bulletproof helmet (Black) | 1× Rys-T face shield | Unlocks craft for Rys-T bulletproof helmet (Black) at Lavatory level 3",The Punisher - Part 6,
Easy Job - Part 1,Lighthouse,Prapor,,,Locate the helicopter at the water treatment plant on Lighthouse | Mark the helicopter with an MS2000 Marker | Survive and extract from the location,"+15,000 EXP | Prapor Rep +0.02 | 120,000 Roubles 126,000 Roubles with Intelligence center Level 1 138,000 Roubles with Intelligence center Level 2 | 1× 6Sh118 raid backpack (EMR) | 1× Kalashnikov AK-12 5.45x39 assault rifle",The Punisher - Part 2,Easy Job - Part 2 | Reconnaissance
Easy Job - Part 2,Lighthouse,Prapor,,,Eliminate any 10 targets around the helicopter area at the water treatment plant on Lighthouse,"+18,000 EXP | Prapor Rep +0.02 | 155,000 Roubles 162,750 Roubles with Intelligence center Level 1 178,250 Roubles with Intelligence center Level 2 | Unlocks purchase of AK 7.62x39 Molot Arms 75-round drum magazine at Prapor LL3 | Unlocks Dirty Hideout ceiling style",Easy Job - Part 1,
Our Own Land,Lighthouse,Prapor,,This quest is only obtainable by BEAR PMCs. | Must be level 30 to start this quest.,Eliminate 20 USEC PMC operatives on Lighthouse | Hand over 20 found in raid USEC PMC dogtags,"+22,000 EXP | Prapor Rep +0.02 | 300,000 Roubles 315,000 Roubles with Intelligence center Level 1 345,000 Roubles with Intelligence center Level 2 | Unlocks purchase of 23x75mm Zvezda flashbang round at Prapor LL3 | 3× TOZ KS-23M 23x75mm pump-action shotgun",The Punisher - Part 5,
Reconnaissance,Lighthouse,Prapor,,,Recon the roof of the first water treatment plant facility on Lighthouse | Recon the roof of the second water treatment plant facility on Lighthouse | Recon the roof of the third water treatment plant facility on Lighthouse | Survive and extract from the location,"7,500 EXP | Prapor Rep +0.03 | 155,000 Roubles 162,750 Roubles with Intelligence Center Level 1 178,250 Roubles with Intelligence Center Level 2 | 1× NPP KlASS Korund-VM body armor (Black) | 1× NPP KlASS Condor glasses | Unlocks barter for Korund-VM ballistic plates (Front) at Prapor LL3",Easy Job - Part 1,
Green Corridor,Streets of Tarkov,Prapor,,This quest is only obtainable by BEAR PMCs. | Must be level 20 to start this quest.,Locate the cargo convoy on Streets of Tarkov | Determine the ambush spot | Survive and extract from the location,"+10,400 EXP | Prapor Rep +0.02 | 62,000 Roubles 65,100 Roubles with Intelligence Center Level 1 71,300 Roubles with Intelligence Center Level 2 | 1× SR-2M Veresk 9x21 submachine gun | 3× SR-2M 9x21 20-round magazine | 80× 9x21mm P gzh",Spa Tour - Part 7,
Kings of the Rooftops,Streets of Tarkov,Prapor,,Must be level 22 to start this quest.,Eliminate 10 snipers on the rooftops on Streets of Tarkov | Survive and extract from the location,"+14,700 EXP | Prapor Rep +0.02 | 77,000 Roubles 80,850 Roubles with Intelligence Center Level 1 88,550 Roubles with Intelligence Center Level 2",The Punisher - Part 4,Best Job in the World
Best Job in the World,,Prapor,,Must be level 25 to start this quest.,Eliminate any 30 enemies from over 100 meters away while using AK-74 series weapons,"+15,400 EXP | Prapor Rep +0.03 | Unlocks barter for GP-25 Kostyor 40mm underbarrel grenade launcher at Prapor LL3 | Unlocks purchase of 40mm VOG-25 grenade at Prapor LL3",Kings of the Rooftops | The Punisher - Part 6,
Glory to CPSU - Part 1,Streets of Tarkov,Prapor,,Must be level 15 to start this quest.,Locate the apartment of Prapor's friend on Streets of Tarkov | Survive and extract from the location,"+7,300 EXP | Prapor Rep +0.02 | 42,000 Roubles 44,100 Roubles with Intelligence Center Level 1 48,300 Roubles with Intelligence Center Level 2 | 2× Bottle of Tarkovskaya vodka",You've Got Mail,Glory to CPSU - Part 2
Glory to CPSU - Part 2,Streets of Tarkov,Prapor,,Must be level 22 to start this quest.,Locate the place of work of Prapor 's friend on Streets of Tarkov | Obtain any information on the fate of Prapor 's friend | Survive and extract from the location | Hand over the found data,"+10,100 EXP | Prapor Rep +0.01 | 50,000 Roubles 52,350 Roubles with Intelligence Center Level 1 57,725 Roubles with Intelligence Center Level 2 | 1× Tokarev SVT-40 7.62x54R rifle | 2× SVT-40 7.62x54R 10-round magazine | 2× 7.62x54mm R PS gzh ammo pack (20 pcs) | Unlocks barter for Tokarev AVT-40 7.62x54R automatic rifle at Prapor LL3",Glory to CPSU - Part 1,Properties All Around
You've Got Mail,Streets of Tarkov,Prapor,,Must be level 10 to start this quest.,Obtain the registered mail on Streets of Tarkov | Hand over the letter,"+4,800 EXP | Prapor Rep +0.02 | 28,000 Roubles 29,400 Roubles with Intelligence Center Level 1 32,200 Roubles with Intelligence Center Level 2 | 1× 6B47 Ratnik-BSh helmet (Olive Drab) | 1× 5.45x39mm BP gs ammo pack (30 pcs) | Unlocks purchase of 9x18mm PM SP7 gzh at Prapor LL2",Postman Pat - Part 1,Glory to CPSU - Part 1
Gendarmerie - Mall Cop,Streets of Tarkov,Prapor,,,Eliminate any 15 targets at the Stylobate building while using Pistols on Streets of Tarkov,"+7,100 EXP | Prapor Rep +0.02 | 120,000 Roubles 126,000 Roubles with Intelligence center Level 1 138,000 Roubles with Intelligence center Level 2 | 1× SR-2M Veresk 9x21 submachine gun | 4× SR-2M 9x21 30-round magazine | 5× 9x21mm PS gzh ammo pack (30 pcs) | Unlocks barter for Serdyukov SR-1MP Gyurza 9x21 pistol (variant Tactical 2) at Prapor LL4",The Punisher - Part 6,"Gendarmerie - Tickets, Please"
"Gendarmerie - Tickets, Please",Streets of Tarkov,Prapor,,,Eliminate any 25 targets at the Rodina cinema while using SMGs on Streets of Tarkov,"+7,500 EXP | Prapor Rep +0.03 | 150,000 Roubles 157,500 Roubles with Intelligence center Level 1 172,500 Roubles with Intelligence center Level 2 | 2× Kalashnikov AK-103 7.62x39 assault rifle | 4× AK-103 7.62x39 30-round magazine | 9× 7.62x39mm PP gzh ammo pack (20 pcs) | Unlocks barter for SR-2M Veresk 9x21 submachine gun (variant FSB) at Prapor LL4",Gendarmerie - Mall Cop,Gendarmerie - District Patrol
Gendarmerie - District Patrol,Streets of Tarkov,Prapor,,,Eliminate any 30 targets at the Cardinal apartment complex while using Assault rifles or Assault carbines on Streets of Tarkov,"+25,000 EXP | Prapor Rep +0.04 | 185,000 Roubles 194,250 Roubles with Intelligence center Level 1 212,750 Roubles with Intelligence center Level 2 | 16× Bottle of Tarkovskaya vodka | 1× BNTI Zhuk body armor (EMR) | Unlocks barter for Kalashnikov AK-12 5.45x39 assault rifle at Prapor LL4 | Unlocks craft for 5.45x39mm BP gs at Workbench level 3","Gendarmerie - Tickets, Please",
Properties All Around,Streets of Tarkov,Prapor,,,Locate the real estate fund on Streets of Tarkov | Locate and obtain the Tarkov real estate transactions document | Hand over the obtained information,"+6,600 EXP | Prapor Rep +0.02 | 84,000 Roubles 88,200 Roubles with Intelligence center Level 1 96,600 Roubles with Intelligence center Level 2 | 1× SR-2M Veresk 9x21 submachine gun | 3× SR-2M 9x21 30-round magazine | 4× 9x21mm PS gzh ammo pack (30 pcs)",Glory to CPSU - Part 2,
Luxurious Life,Ground Zero,Prapor,,,Locate the liquor store on Ground Zero | Locate and obtain the wine bottle in the store | Hand over the wine bottle,"+1,750 EXP | Prapor Rep +0.01 | 14,000 Roubles 14,700 Roubles with Intelligence center Level 1 16,100 Roubles with Intelligence center Level 2 | 1× Molot Arms VPO-136 Vepr-KM 7.62x39 carbine | 5× 7.62x39mm FMJ ammo pack (20 pcs) | 3× AK 7.62x39 30-round magazine (issued '55 or later)",Debut,Background Check
Shooting Cans,Ground Zero,Prapor,,,Locate the Utyos machine gun on Ground Zero | Locate the AGS grenade launcher on Ground Zero | Eliminate any 5 targets on Ground Zero,"+1,600 EXP | Prapor Rep +0.01 | 13,000 Roubles 13,650 Roubles with Intelligence Center Level 1 14,950 Roubles with Intelligence Center Level 2 | 1× Mosin 7.62x54R bolt-action rifle (Infantry) | 3× 7.62x54mm R FMJ ammo pack (20 pcs)",,Debut | Test Drive - Part 1 | The Good Times - Part 1 | Grenadier
